name,official_url,has_official_website,lead_score,lead_category,google_search_url,extracted_phone,scrape_status
Desi Tadka Restaurant,,FALSE,75,High Priority,https://www.google.com/search?q=Desi+Tadka+Restaurant+phone,9893979206,found
Mid Flight,,FALSE,85,Hot Lead,https://www.google.com/search?q=Mid+Flight+phone,7415861386,found
Mausa,,FALSE,95,Hot Lead,https://www.google.com/search?q=Mausa+phone,8588099345,found
The Garden,,FALSE,90,Hot Lead,https://www.google.com/search?q=The+Garden+phone,9893507538,found
Wolf Casa,https://www.wolf-casa.com/,TRUE,25,Low Priority,https://www.google.com/search?q=Wolf+Casa+phone,9893522569,found
Hotel Apna Avenue,https://www.hotelapnaavenue.com/,TRUE,20,Strong Online Presence,https://www.google.com/search?q=Hotel+Apna+Avenue+phone,9425086471,found
Jash Garden Restaurant,,FALSE,90,Hot Lead,https://www.google.com/search?q=Jash+Garden+Restaurant+phone,9584533335,found
Eden Garden,,FALSE,90,Hot Lead,https://www.google.com/search?q=Eden+Garden+phone,,found
Vrindavan Restaurant,,FALSE,90,Hot Lead,https://www.google.com/search?q=Vrindavan+Restaurant+phone,,found
Desi Tadka,,FALSE,75,High Priority,https://www.google.com/search?q=Desi+Tadka+phone,9893979206,found
Rangoon Garden,,FALSE,80,High Priority,https://www.google.com/search?q=Rangoon+Garden+phone,,found
Hunger Pangzzz,,FALSE,75,High Priority,https://www.google.com/search?q=Hunger+Pangzzz+phone,,found
JAM,https://jamgate.in/,TRUE,25,Low Priority,https://www.google.com/search?q=JAM+phone,,found
hul adda,,FALSE,95,Hot Lead,https://www.google.com/search?q=hul+adda+phone,,found
Canteen,,FALSE,75,High Priority,https://www.google.com/search?q=Canteen+phone,7697890958,found
Veg Bites Cafe & Restaurant,,FALSE,85,Hot Lead,https://www.google.com/search?q=Veg+Bites+Cafe+&+Restaurant+phone,7314910263,found
Nature's Kitchen Pluck & Dine,,FALSE,90,Hot Lead,https://www.google.com/search?q=Nature's+Kitchen+Pluck+&+Dine+phone,9406802629,found
Apna Sweets,,FALSE,90,Hot Lead,https://www.google.com/search?q=Apna+Sweets+phone,7611106942,found
jay ambe sweets,,FALSE,95,Hot Lead,https://www.google.com/search?q=jay+ambe+sweets+phone,9009101313,found
DZire paying guest and mess,,FALSE,90,Hot Lead,https://www.google.com/search?q=DZire+paying+guest+and+mess+phone,,found
Matargasti,,FALSE,75,High Priority,https://www.google.com/search?q=Matargasti+phone,,found
"Vairagi Chef ""Cakes and Street Food""",,FALSE,90,Hot Lead,"https://www.google.com/search?q=Vairagi+Chef+""Cakes+and+Street+Food""+phone",7312400344,found
Royal Bakery Stores,,FALSE,95,Hot Lead,https://www.google.com/search?q=Royal+Bakery+Stores+phone,9174851402,found
Karnawat hotel,,FALSE,90,Hot Lead,https://www.google.com/search?q=Karnawat+hotel+phone,8085954486,found
Rajesh Restuarant,,FALSE,75,High Priority,https://www.google.com/search?q=Rajesh+Restuarant+phone,9098806125,found
